02:11	|R 2758	|V 36.8	|I 36.6	|W 1346	|TH 82%	|B 58%	|Wh 45	|T 35.3	|Pa 1296W	|Pi 34	
02:12	|R 2642	|V 36.7	|I 31.8	|W 1168	|TH 80%	|B 58%	|Wh 45	|T 35.4	|Pa 1295W	|Pi 34	
02:13	|R 2676	|V 36.5	|I 34.6	|W 1264	|TH 82%	|B 58%	|Wh 45	|T 35.5	|Pa 1295W	|Pi 34	
02:14	|R 2605	|V 36.6	|I 33.8	|W 1237	|TH 82%	|B 58%	|Wh 46	|T 35.6	|Pa 1294W	|Pi 34	
02:15	|R 2667	|V 36.5	|I 34.1	|W 1243	|TH 82%	|B 58%	|Wh 46	|T 35.7	|Pa 1294W	|Pi 34	
02:16	|R 2611	|V 36.6	|I 32.1	|W 1174	|TH 80%	|B 58%	|Wh 47	|T 35.7	|Pa 1293W	|Pi 34	
02:17	|R 2605	|V 36.6	|I 33.2	|W 1216	|TH 83%	|B 58%	|Wh 47	|T 35.9	|Pa 1292W	|Pi 34	
02:18	|R 2684	|V 36.3	|I 37.3	|W 1355	|TH 83%	|B 46%	|Wh 47	|T 36.0	|Pa 1293W	|Pi 34	
02:19	|R 3031	|V 38.5	|I 27.2	|W 1046	|TH 0%	|B 46%	|Wh 50	|T 36.1	|Pa 1291W	|Pi 35	
02:20	|R 447	|V 38.7	|I 0.0	|W 0	|TH 0%	|B 46%	|Wh 50	|T 36.1	|Pa 1291W	|Pi 35	
02:21	|R 3	|V 38.9	|I 0.0	|W 0	|TH 0%	|B 46%	|Wh 51	|T 35.8	|Pa 1291W	|Pi 35	
02:22	|R 1	|V 38.9	|I 0.0	|W 0	|TH 0%	|B 46%	|Wh 51	|T 35.7	|Pa 1291W	|Pi 35	
02:23	|R 1195	|V 38.9	|I 0.1	|W 2	|TH 88%	|B 46%	|Wh 51	|T 35.8	|Pa 1291W	|Pi 35	
02:24	|R 2006	|V 37.8	|I 27.9	|W 1055	|TH 72%	|B 46%	|Wh 49	|T 35.8	|Pa 1289W	|Pi 35	
02:25	|R 2487	|V 36.7	|I 31.6	|W 1159	|TH 79%	|B 46%	|Wh 48	|T 35.9	|Pa 1288W	|Pi 35	
02:26	|R 2483	|V 36.6	|I 38.8	|W 1421	|TH 80%	|B 46%	|Wh 49	|T 36.1	|Pa 1289W	|Pi 35	
02:27	|R 2466	|V 36.8	|I 35.7	|W 1313	|TH 79%	|B 46%	|Wh 49	|T 36.2	|Pa 1289W	|Pi 35	
02:28	|R 2588	|V 36.4	|I 35.0	|W 1274	|TH 82%	|B 46%	|Wh 49	|T 36.3	|Pa 1289W	|Pi 35	
02:29	|R 2628	|V 36.4	|I 35.8	|W 1302	|TH 82%	|B 57%	|Wh 49	|T 36.4	|Pa 1289W	|Pi 35	
02:30	|R 2663	|V 36.3	|I 36.2	|W 1314	|TH 83%	|B 57%	|Wh 50	|T 36.5	|Pa 1290W	|Pi 35	
02:31	|R 2738	|V 36.0	|I 37.5	|W 1350	|TH 88%	|B 57%	|Wh 50	|T 36.6	|Pa 1290W	|Pi 35	
