00:01	|R 1600	|V 39.4	|I 12.0	|W 473	|TH 55%	|B 93%	|Wh 0	|T 24.4	|Pa 265W	|Pi 99	|ESP fails	
02:16	|R 2213	|V 37.7	|I 22.3	|W 840	|TH 69%	|B 56%	|Wh 41	|T 34.7	|Pa 1106W	|Pi 50	
02:17	|R 2322	|V 37.5	|I 24.0	|W 898	|TH 71%	|B 56%	|Wh 41	|T 34.8	|Pa 1105W	|Pi 50	
02:18	|R 2333	|V 37.3	|I 23.6	|W 881	|TH 73%	|B 61%	|Wh 41	|T 34.8	|Pa 1103W	|Pi 50	
02:19	|R 2390	|V 37.4	|I 29.1	|W 1088	|TH 72%	|B 61%	|Wh 41	|T 35.0	|Pa 1103W	|Pi 50	
02:20	|R 2486	|V 36.9	|I 25.3	|W 932	|TH 77%	|B 61%	|Wh 41	|T 35.0	|Pa 1102W	|Pi 50	
02:21	|R 2549	|V 36.8	|I 34.0	|W 1251	|TH 79%	|B 61%	|Wh 41	|T 35.1	|Pa 1103W	|Pi 50	
02:22	|R 2645	|V 36.3	|I 37.8	|W 1372	|TH 83%	|B 61%	|Wh 41	|T 35.2	|Pa 1105W	|Pi 50	
02:23	|R 2715	|V 36.1	|I 38.7	|W 1395	|TH 83%	|B 61%	|Wh 41	|T 35.3	|Pa 1107W	|Pi 50	
02:24	|R 2716	|V 36.8	|I 36.2	|W 1331	|TH 80%	|B 61%	|Wh 42	|T 35.4	|Pa 1109W	|Pi 50	
02:25	|R 1560	|V 38.8	|I 19.9	|W 772	|TH 0%	|B 61%	|Wh 45	|T 35.5	|Pa 1106W	|Pi 50	
02:26	|R 5	|V 39.0	|I 0.0	|W 0	|TH 0%	|B 61%	|Wh 45	|T 35.2	|Pa 1106W	|Pi 50	
02:27	|R 1	|V 39.1	|I 0.0	|W 0	|TH 0%	|B 61%	|Wh 45	|T 35.1	|Pa 1106W	|Pi 50	
02:28	|R 1	|V 39.2	|I 0.0	|W 0	|TH 0%	|B 61%	|Wh 45	|T 35.0	|Pa 1106W	|Pi 50	
02:29	|R 0	|V 39.2	|I 0.0	|W 0	|TH 0%	|B 58%	|Wh 45	|T 34.9	|Pa 1106W	|Pi 50	
02:30	|R 0	|V 39.3	|I 0.0	|W 0	|TH 0%	|B 58%	|Wh 45	|T 34.9	|Pa 1106W	|Pi 50	
02:31	|R 0	|V 39.3	|I 0.0	|W 0	|TH 0%	|B 58%	|Wh 45	|T 34.7	|Pa 1106W	|Pi 50	
02:32	|R 0	|V 39.3	|I 0.0	|W 0	|TH 0%	|B 58%	|Wh 45	|T 34.6	|Pa 1106W	|Pi 50	
02:33	|R 0	|V 39.4	|I 0.0	|W 0	|TH 0%	|B 58%	|Wh 45	|T 34.5	|Pa 1106W	|Pi 50	
02:34	|R 0	|V 39.4	|I 0.0	|W 0	|TH 0%	|B 58%	|Wh 45	|T 34.4	|Pa 1106W	|Pi 50	
02:35	|R 2489	|V 36.8	|I 8.0	|W 294	|TH 80%	|B 58%	|Wh 43	|T 34.4	|Pa 1100W	|Pi 50	
02:36	|R 2270	|V 38.4	|I 19.0	|W 728	|TH 66%	|B 58%	|Wh 45	|T 34.5	|Pa 1098W	|Pi 51	
02:37	|R 2055	|V 38.2	|I 17.8	|W 680	|TH 63%	|B 58%	|Wh 45	|T 34.5	|Pa 1095W	|Pi 51	
02:38	|R 2106	|V 38.1	|I 17.0	|W 648	|TH 66%	|B 58%	|Wh 45	|T 34.7	|Pa 1092W	|Pi 51	
02:39	|R 2610	|V 38.3	|I 21.6	|W 826	|TH 72%	|B 58%	|Wh 45	|T 34.8	|Pa 1090W	|Pi 51	
02:40	|R 2343	|V 37.4	|I 22.4	|W 838	|TH 75%	|B 67%	|Wh 44	|T 34.9	|Pa 1088W	|Pi 51	
02:41	|R 2440	|V 37.1	|I 30.9	|W 1144	|TH 77%	|B 67%	|Wh 44	|T 35.0	|Pa 1088W	|Pi 51	
02:42	|R 2499	|V 37.0	|I 32.3	|W 1196	|TH 79%	|B 67%	|Wh 44	|T 35.1	|Pa 1089W	|Pi 51	
02:43	|R 2511	|V 36.7	|I 35.4	|W 1297	|TH 79%	|B 67%	|Wh 44	|T 35.2	|Pa 1090W	|Pi 51	
02:44	|R 2567	|V 36.6	|I 35.8	|W 1312	|TH 79%	|B 67%	|Wh 45	|T 35.3	|Pa 1092W	|Pi 51	
02:45	|R 2507	|V 36.7	|I 34.2	|W 1256	|TH 79%	|B 67%	|Wh 45	|T 35.4	|Pa 1093W	|Pi 51	
02:46	|R 2559	|V 36.5	|I 34.2	|W 1248	|TH 80%	|B 67%	|Wh 45	|T 35.5	|Pa 1094W	|Pi 51	
02:47	|R 2607	|V 36.4	|I 36.3	|W 1320	|TH 82%	|B 67%	|Wh 45	|T 35.7	|Pa 1096W	|Pi 51	
02:48	|R 2621	|V 36.4	|I 37.6	|W 1367	|TH 82%	|B 67%	|Wh 46	|T 35.8	|Pa 1097W	|Pi 51	
02:49	|R 2641	|V 36.2	|I 38.2	|W 1381	|TH 83%	|B 67%	|Wh 46	|T 35.9	|Pa 1099W	|Pi 51	
02:50	|R 2659	|V 36.2	|I 38.0	|W 1376	|TH 83%	|B 67%	|Wh 46	|T 36.1	|Pa 1101W	|Pi 50	
02:51	|R 2658	|V 36.1	|I 38.6	|W 1393	|TH 82%	|B 46%	|Wh 47	|T 36.1	|Pa 1103W	|Pi 50	
02:52	|R 1801	|V 38.6	|I 29.9	|W 1152	|TH 0%	|B 46%	|Wh 50	|T 36.3	|Pa 1103W	|Pi 50	
02:53	|R 6	|V 38.8	|I 0.0	|W 0	|TH 0%	|B 46%	|Wh 50	|T 36.0	|Pa 1103W	|Pi 50	
02:54	|R 1	|V 38.9	|I 0.0	|W 0	|TH 0%	|B 46%	|Wh 51	|T 35.9	|Pa 1103W	|Pi 50	
02:55	|R 1	|V 38.9	|I 0.0	|W 0	|TH 0%	|B 46%	|Wh 51	|T 35.9	|Pa 1103W	|Pi 50	
02:56	|R 2598	|V 35.8	|I 12.9	|W 461	|TH 82%	|B 46%	|Wh 47	|T 35.9	|Pa 1099W	|Pi 51	
02:57	|R 2472	|V 37.5	|I 19.3	|W 721	|TH 73%	|B 46%	|Wh 49	|T 36.0	|Pa 1097W	|Pi 51	
02:58	|R 2390	|V 36.8	|I 30.6	|W 1126	|TH 77%	|B 46%	|Wh 48	|T 36.1	|Pa 1097W	|Pi 51	
02:59	|R 2412	|V 36.9	|I 30.6	|W 1127	|TH 77%	|B 46%	|Wh 49	|T 36.2	|Pa 1097W	|Pi 51	
03:00	|R 2539	|V 36.5	|I 30.9	|W 1129	|TH 80%	|B 46%	|Wh 49	|T 36.3	|Pa 1097W	|Pi 51	
03:01	|R 2532	|V 36.9	|I 24.6	|W 908	|TH 77%	|B 46%	|Wh 49	|T 36.4	|Pa 1096W	|Pi 51	
03:02	|R 2539	|V 36.4	|I 32.8	|W 1193	|TH 80%	|B 55%	|Wh 49	|T 36.4	|Pa 1097W	|Pi 51	
03:03	|R 2638	|V 36.4	|I 28.7	|W 1044	|TH 80%	|B 55%	|Wh 49	|T 36.5	|Pa 1096W	|Pi 51	
03:04	|R 2620	|V 36.4	|I 33.8	|W 1232	|TH 82%	|B 55%	|Wh 50	|T 36.6	|Pa 1097W	|Pi 51	
03:05	|R 2599	|V 36.5	|I 35.3	|W 1289	|TH 80%	|B 55%	|Wh 50	|T 36.6	|Pa 1098W	|Pi 51	
